Iteration, 0deg_ns, 180deg_ns
1, 4708, 3458
2, 3500, 4792
3, 3458, 3750
4, 3250, 3792
5, 4292, 3500
6, 4500, 3125
7, 3750, 2916
8, 5417, 3292
9, 4709, 3541
10, 3750, 3458
11, 3500, 5083
12, 4417, 3084
13, 3458, 3250
14, 4250, 4209
15, 3792, 3500
16, 4000, 4042
17, 3333, 3792
18, 3583, 4875
19, 3333, 3125
20, 3958, 4209
21, 3583, 3250
22, 3292, 3416
23, 3750, 3333
24, 3542, 2875
25, 4042, 3041
26, 4041, 3833
27, 3500, 3834
28, 3500, 3916
29, 2833, 3709
30, 4000, 3542
31, 3208, 3500
32, 3166, 3291
33, 3750, 4708
34, 4208, 3833
35, 3542, 3541
36, 4792, 4334
37, 3625, 2833
38, 4917, 5250
39, 4167, 3750
40, 3375, 3042
41, 2958, 4459
42, 4209, 3417
43, 3083, 3625
44, 3709, 3958
45, 3750, 2833
46, 4875, 4333
47, 3458, 3209
48, 3542, 3167
49, 3875, 4292
50, 4083, 4209
51, 2917, 3917
52, 3667, 3875
53, 3291, 3500
54, 4917, 4458
55, 3750, 3500
56, 3750, 4292
57, 4000, 3584
58, 3459, 4375
59, 5084, 3500
60, 3292, 3875
61, 3250, 3750
62, 3084, 5583
63, 4375, 3250
64, 4625, 3458
65, 3666, 4584
66, 4208, 3084
67, 3667, 3167
68, 3333, 3750
69, 3500, 3042
70, 4417, 3458
71, 3750, 4125
72, 3875, 3292
73, 3042, 2917
74, 3792, 3250
75, 3333, 3625
76, 3875, 3750
77, 3708, 3542
78, 4209, 3708
79, 5208, 3584
80, 5083, 4333
81, 4291, 3292
82, 3500, 3625
83, 3083, 3417
84, 3417, 3417
85, 3709, 3792
86, 3917, 3166
87, 3292, 3209
88, 3542, 2917
89, 3292, 3291
90, 5084, 3958
91, 3292, 3459
92, 4709, 3291
93, 4167, 3500
94, 5250, 3083
95, 4291, 3709
96, 3709, 3250
97, 4875, 3292
98, 4292, 3584
99, 3542, 3916
100, 3375, 3375
