Iteration, 0deg_ns, 180deg_ns
1, 338750, 356667
2, 306833, 301584
3, 301833, 309041
4, 269500, 285375
5, 285500, 285791
6, 287291, 280791
7, 293417, 284208
8, 285000, 339209
9, 937500, 288958
10, 282917, 341416
11, 306583, 307875
12, 281833, 350000
13, 279083, 333750
14, 286000, 355125
15, 284208, 293792
16, 285250, 345083
17, 273542, 293542
18, 327167, 358667
19, 282833, 286167
20, 284792, 362667
21, 281709, 284542
22, 279041, 351875
23, 276834, 288750
24, 301750, 290833
25, 290750, 289833
26, 307583, 329500
27, 292625, 286375
28, 342541, 281166
29, 284792, 287250
30, 290834, 288292
31, 289542, 284458
32, 279250, 281875
33, 288083, 272583
34, 288292, 278500
35, 337792, 301792
36, 290167, 272334
37, 282833, 345709
38, 302750, 306750
39, 290833, 276250
40, 343958, 341125
41, 308125, 318459
42, 284250, 276875
43, 296416, 273792
44, 287667, 267542
45, 281250, 286625
46, 287208, 283750
47, 287083, 275875
48, 279042, 290375
49, 286167, 275417
50, 286458, 319375
51, 296083, 268625
52, 288125, 271583
53, 327208, 306250
54, 286709, 286334
55, 282666, 329625
56, 336625, 284917
57, 283375, 279292
58, 284167, 300875
59, 283375, 275583
60, 306250, 290583
61, 296292, 310417
62, 295500, 338000
63, 296166, 295125
64, 284084, 281958
65, 291042, 340625
66, 292083, 275958
67, 283834, 282459
68, 295916, 338625
69, 296167, 283791
70, 368834, 298791
71, 335542, 301459
72, 284625, 285583
73, 297875, 375167
74, 276625, 280458
75, 287625, 372625
76, 288417, 277792
77, 280334, 351708
78, 294000, 285792
79, 271958, 353208
80, 282834, 327000
81, 303292, 298541
82, 314792, 279875
83, 287625, 280666
84, 287708, 286042
85, 282875, 290750
86, 328875, 285792
87, 364834, 276875
88, 286958, 284458
89, 292167, 275667
90, 333041, 290750
91, 305375, 283500
92, 339959, 295875
93, 308083, 283125
94, 281666, 380625
95, 289583, 291875
96, 299166, 364417
97, 284292, 294333
98, 275625, 350416
99, 284042, 286125
100, 300084, 309625
